atletas.rodada_id,atletas.slug,atletas.clube.id.full.name,atletas.atleta_id,atletas.media_num,atletas.posicao_id,atletas.pontos_num,atletas.variacao_num,atletas.clube_id,atletas.apelido,atletas.nome,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.entrou_em_campo
1,preciado,CAM,106302,0,2,0,0,282,Preciado,Ángelo Smit Preciado Quiñónez,8,6,Preciado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,False
1,caio-alexandre,BAH,106323,0,4,0,0,265,Caio Alexandre,Caio Alexandre Souza e Silva,7,6,C. Alexandre,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,False
1,eduardo-santos,RBB,106434,0,3,0,0,280,Eduardo Santos,Eduardo Gonzaga Mendes Santos,5,6,E. Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,False
1,villalba,CRU,106593,0,3,0,0,283,Villalba,Lucas Hernán Villalba,10,2,Villalba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0,False
1,igor-formiga,MIR,106708,0,2,0,0,2305,Igor Formiga,Igor Marques Paciência Cardoso,6,7,I. Formiga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,False
1,rodrigo-nestor,BAH,106822,0,4,0,0,265,Rodrigo Nestor,Rodrigo Nestor Bertalia,7,6,R. Nestor,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,False
1,yuri-sena,VIT,107075,0,1,0,0,287,Yuri Sena,Yuri Sena dos Reis Batista,1,6,Y. Sena,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,False
1,luciano-juba,BAH,107093,0,2,0,0,265,Luciano Juba,Luciano Batista da Silva Júnior,7,7,L. Juba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,0,False
1,jeffinho,BOT,107170,0,5,0,0,263,Jeffinho,Jefferson Ruan Pereira dos Santos,5,6,Jeffinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,0,False
1,patrick-de-paula,REM,107172,0,4,0,0,364,Patrick de Paula,Patrick de Paula Carreiro,5,7,P. Paula,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,0,False
